bin,lo,hi,n,confidence,accuracy,gap,model
0,0.0,0.1,3620,0.006225414364640885,0.00027624309392265195,0.005949171270718233,Conventional Random Forest
1,0.1,0.2,127,0.1465511811023622,0.07874015748031496,0.06781102362204725,Conventional Random Forest
2,0.2,0.30000000000000004,108,0.24933333333333338,0.21296296296296297,0.036370370370370414,Conventional Random Forest
3,0.30000000000000004,0.4,94,0.35476232160999976,0.2872340425531915,0.06752827905680825,Conventional Random Forest
4,0.4,0.5,138,0.4510144927536232,0.42028985507246375,0.03072463768115946,Conventional Random Forest
5,0.5,0.6000000000000001,170,0.5523294117647058,0.6176470588235294,0.06531764705882359,Conventional Random Forest
6,0.6000000000000001,0.7000000000000001,204,0.6562549019607842,0.6862745098039216,0.030019607843137397,Conventional Random Forest
7,0.7000000000000001,0.8,335,0.7529910447761193,0.7880597014925373,0.03506865671641801,Conventional Random Forest
8,0.8,0.9,612,0.8536143790849674,0.8888888888888888,0.03527450980392144,Conventional Random Forest
9,0.9,1.0,2741,0.9708164903319956,0.9759211966435607,0.0051047063115651214,Conventional Random Forest
0,0.0,0.1,3623,0.007057324018440882,0.0022081148219707425,0.004849209196470139,VEAI Gradient Boosting
1,0.1,0.2,66,0.15708840909845537,0.15151515151515152,0.005573257583303848,VEAI Gradient Boosting
2,0.2,0.30000000000000004,85,0.2506619995499097,0.3176470588235294,0.0669850592736197,VEAI Gradient Boosting
3,0.30000000000000004,0.4,61,0.3471487429957385,0.4918032786885246,0.14465453569278608,VEAI Gradient Boosting
4,0.4,0.5,77,0.4530201561438787,0.4675324675324675,0.014512311388588828,VEAI Gradient Boosting
5,0.5,0.6000000000000001,111,0.5551713918113667,0.6576576576576577,0.10248626584629106,VEAI Gradient Boosting
6,0.6000000000000001,0.7000000000000001,283,0.65865970431874,0.6007067137809188,0.057952990537821214,VEAI Gradient Boosting
7,0.7000000000000001,0.8,564,0.7520780537125454,0.7429078014184397,0.00917025229410573,VEAI Gradient Boosting
8,0.8,0.9,982,0.8581420883231982,0.8615071283095723,0.003365039986374163,VEAI Gradient Boosting
9,0.9,1.0,2297,0.9629524387066742,0.9699608184588594,0.0070083797521851565,VEAI Gradient Boosting
