model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier_score,log_loss,ece_10_bins,noise_level,family
Conventional Random Forest,0.9444103570990305,0.9457142487695014,0.9177744953225012,0.9690668053028334,0.9427234795802251,0.9838215811024597,0.042848351108407845,0.15146459451384012,0.01340282957802675,0.0,Conventional AI
VEAI Gradient Boosting,0.9248987605841208,0.9273169502895322,0.8821167021025278,0.9706264621783207,0.9242574257425743,0.9743851796584295,0.055826256754873446,0.18328361790796058,0.011939037549593213,0.0,VEAI
Conventional Random Forest,0.9415879248987605,0.9428211311874939,0.9158647915124599,0.9649077203015337,0.9397468354430379,0.9823130728998801,0.04539921986223615,0.15720351625502899,0.018727820589456746,0.05,Conventional AI
VEAI Gradient Boosting,0.8821941342496011,0.8819081977697124,0.8740606374708474,0.876787106836496,0.8754217492862705,0.9533331653554117,0.091696790835675,0.3256237612458296,0.04139220917908792,0.05,VEAI
Conventional Random Forest,0.9380292060375506,0.9389969748263935,0.916085657370518,0.956329607486353,0.9357751494340583,0.9810038118903474,0.048845040750676076,0.16554872404804902,0.02919805759732112,0.1,Conventional AI
VEAI Gradient Boosting,0.8302859246533317,0.8275901198528512,0.8488108720271801,0.7793085521185339,0.812576229841442,0.909564070706862,0.1350917274479202,0.49227259296547915,0.08802616373282225,0.1,VEAI
Conventional Random Forest,0.9244079028101607,0.9246113879121396,0.9130657120940936,0.9282557837275799,0.9205980922918278,0.9766510386775811,0.05621128815120241,0.18899242641017547,0.04286942243560741,0.15000000000000002,Conventional AI
VEAI Gradient Boosting,0.7826727205792122,0.7784808681002313,0.8111510791366906,0.7034052508448141,0.7534456355283308,0.8619508496601227,0.17347543258735926,0.6476033096092484,0.12146640431575334,0.15000000000000002,VEAI
Conventional Random Forest,0.9212173272794207,0.9211221601912386,0.9141897131041613,0.919417728099818,0.916796267496112,0.9761868032919321,0.06002622843438328,0.1987409513224808,0.05071254721069633,0.2,Conventional AI
VEAI Gradient Boosting,0.7511351086022825,0.7457792828116168,0.7859163784973279,0.6498570314530803,0.7114399544678429,0.8220009868400779,0.20069737871805993,0.7671370927882845,0.14889377910269658,0.2,VEAI
Conventional Random Forest,0.9093140262608909,0.9086386513330619,0.9100263852242744,0.8965427605926696,0.9032342542883331,0.9718842723963815,0.06746394454270664,0.22043515526423887,0.06404554134152984,0.25,Conventional AI
VEAI Gradient Boosting,0.7295373665480427,0.7250487528726943,0.7476635514018691,0.6446581752014556,0.6923506420993858,0.7846640568456622,0.2186292739129775,0.8587144583462236,0.1644517844143687,0.25,VEAI
Conventional Random Forest,0.8961835808074611,0.8948004428333065,0.9063092336853507,0.8700285937093839,0.8877984084880637,0.9677439489579145,0.07501361416683007,0.2433407523968006,0.07455046519861903,0.30000000000000004,Conventional AI
VEAI Gradient Boosting,0.7100257700331329,0.7047269591391894,0.7312967581047382,0.6098258383155706,0.6650602409638554,0.7608695914885709,0.2346565450758718,0.9195045806955322,0.1809143748897514,0.30000000000000004,VEAI
Conventional Random Forest,0.8872254264326911,0.8848451527553758,0.9121621621621622,0.8422147127631922,0.8757940262197594,0.9665863212557207,0.08015549056129746,0.2563159916725909,0.08543102079945328,0.35000000000000003,Conventional AI
VEAI Gradient Boosting,0.6870781691005031,0.6828966572031048,0.6918071576456669,0.6080062386275019,0.6472053126729386,0.7407807009561569,0.24949541802901365,0.9712416661153028,0.2022621323321517,0.35000000000000003,VEAI
Conventional Random Forest,0.8700454043440913,0.8666216630853532,0.909037558685446,0.8053028333766571,0.8540317022742936,0.961073896146381,0.08973672859397128,0.282420275753344,0.09798901142683238,0.4,Conventional AI
VEAI Gradient Boosting,0.6615535648545834,0.6575396648441666,0.659350307287094,0.5856511567455159,0.6203193832599119,0.7029530095661614,0.27188126574554433,1.0817493077214029,0.2240329484160986,0.4,VEAI
