overload_intensity,mean_equilibrium,low_equilibrium_rate,mean_disengagement,mean_engagement
0.0,0.400348132564902,0.3877776414283961,0.8054577034206436,0.5656686764711761
0.05,0.39675351824932203,0.39747208246410604,0.8265495058383756,0.5544264995169486
0.1,0.39346363465588496,0.40446680574303595,0.8452999080928888,0.543184322562721
0.15000000000000002,0.3904115758961351,0.4110933856914959,0.8621864238350925,0.5319421456084935
0.2,0.38783336768179894,0.41624739231807584,0.877482929391139,0.5206999686542659
0.25,0.3875766847383613,0.41759725119646585,0.8913324986462794,0.5094577917000386
0.30000000000000004,0.38753909037441225,0.41771996563995584,0.903833882401805,0.4982442858418544
0.35000000000000003,0.3876928660634237,0.4166155356485458,0.9151778458380496,0.487058864317741
0.4,0.38802994720726736,0.41587924898760587,0.9253820667000197,0.4758734427936277
0.45,0.3885287764728436,0.4142839612222359,0.9346112440755955,0.4646982843123895
0.5,0.38919024733388874,0.4124432445698859,0.9429021708442497,0.4535481431907795
